earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker
2005-08-11,0.03,0.03,0.2147,NVDA
2005-05-12,0.02,0.06,1.4187,NVDA
2005-02-17,0.02,0.03,0.7729,NVDA
2004-11-04,0.01,0.02,1.5974000000000002,NVDA
2004-08-05,0.01,0.02,0.8604,NVDA
2004-05-06,0.01,0.02,1.3641,NVDA
2004-02-12,0.01,0.03,1.7871,NVDA
2003-11-06,0.01,0.01,0.1908,NVDA
2003-08-07,0.01,0.01,-0.2678,NVDA
2003-05-08,0.01,0.01,0.1364,NVDA
2003-02-13,,0.01,1.5151,NVDA
2024-06-13,,,,ADBE
2024-03-13,,,,ADBE
2023-12-13,,,,ADBE
2023-09-13,3.98,,,ADBE
2023-06-15,3.79,3.91,0.0325,ADBE
2023-03-15,3.68,3.8,0.0325,ADBE
2022-12-15,3.5,3.6,0.0277,ADBE
2022-09-15,3.33,3.4,0.0198,ADBE
2022-06-16,3.31,3.35,0.0123,ADBE
2022-03-22,3.34,3.37,0.0079,ADBE
2021-12-16,3.2,3.2,0.0009,ADBE
2021-09-21,3.01,3.11,0.0327,ADBE
2021-06-17,2.81,3.03,0.0773,ADBE
2021-03-23,2.78,3.14,0.1275,ADBE
2020-12-10,2.66,2.81,0.0579999999999999,ADBE
2020-09-15,2.41,2.57,0.0662,ADBE
2020-06-11,2.33,2.45,0.0513,ADBE
2020-03-12,2.23,2.2,-0.012,ADBE
2019-12-12,2.26,2.29,0.0144,ADBE
2019-09-17,1.97,2.05,0.0394,ADBE
2019-06-18,1.78,1.83,0.027,ADBE
2019-03-14,1.62,1.65,0.0211,ADBE
2018-12-13,1.88,1.9,0.0115,ADBE
2018-09-13,1.69,1.73,0.0232,ADBE
2018-06-14,1.54,1.66,0.0764,ADBE
2018-03-15,1.44,1.55,0.078,ADBE
2017-12-14,1.16,1.26,0.0886,ADBE
2017-09-19,1.01,1.1,0.0934,ADBE
2017-06-20,0.95,1.02,0.0784,ADBE
2017-03-16,0.87,0.94,0.08,ADBE
2016-12-15,0.86,0.9,0.0447,ADBE
2016-09-20,0.72,0.75,0.0371,ADBE
2016-06-21,0.68,0.71,0.045,ADBE
2016-03-17,0.61,0.66,0.088,ADBE
2015-12-10,0.6,0.62,0.0348,ADBE
2015-09-17,0.5,0.54,0.0853,ADBE
2015-06-16,0.45,0.48,0.0604,ADBE
2015-03-17,0.39,0.44,0.1388,ADBE
2014-12-11,0.3,0.36,0.2129,ADBE
2014-09-16,0.26,0.28,0.0619,ADBE
2014-06-17,0.3,0.37,0.2427,ADBE
2014-03-18,0.25,0.3,0.1921999999999999,ADBE
2013-12-12,0.32,0.32,0.0019,ADBE
2013-09-17,0.34,0.32,-0.0534,ADBE
2013-06-18,0.34,0.36,0.0724,ADBE
2013-03-19,0.31,0.35,0.1164,ADBE
2012-12-13,0.57,0.61,0.0792,ADBE
2012-09-19,0.58,0.58,-0.0064,ADBE
2012-06-19,0.59,0.6,0.0134,ADBE
2012-03-19,0.57,0.57,0.0024,ADBE
2011-12-15,0.6,0.67,0.1151,ADBE
2011-09-20,0.54,0.55,0.0222,ADBE
2011-06-21,0.51,0.55,0.0723,ADBE
2011-03-22,0.57,0.58,0.0158,ADBE
2010-12-20,0.52,0.56,0.0767,ADBE
